Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
COSC-222-903,18,3,1,0,1,23,3.608,0,0,0,1,0,24,ELLIS D
COSC-222-904,19,6,0,0,0,25,3.760,0,0,0,0,0,25,ELLIS D
COSC-222-905,18,2,0,0,1,21,3.714,0,0,0,1,0,22,ELLIS D
COSC-222-906,19,4,1,1,0,25,3.640,0,0,0,0,0,25,ELLIS D
COSC-222-907,15,3,0,0,0,18,3.833,0,0,0,0,0,18,ELLIS D
COSC-222-908,17,3,1,0,0,21,3.761,0,0,0,0,0,21,ELLIS D
COSC-222-909,11,3,1,0,0,15,3.666,0,0,0,1,0,16,ELLIS D
COSC-222-910,10,2,0,0,0,12,3.833,0,0,0,1,0,13,ELLIS D
COSC-222-911,15,6,1,0,0,22,3.636,0,0,0,0,0,22,ELLIS D
COSC-222-912,17,1,1,0,0,19,3.842,1,0,0,1,0,21,ELLIS D
COSC-222-913,15,6,0,0,0,21,3.714,0,0,0,0,0,21,ELLIS D
COSC-222-914,13,5,0,0,0,18,3.722,1,0,0,0,0,19,ELLIS D
COSC-222-915,15,2,0,0,0,17,3.882,0,0,0,0,0,17,ELLIS D
COSC-222-M90,16,5,0,2,0,23,3.521,0,0,0,0,0,23,ELLIS D
COSC-222-M91,18,5,0,0,0,23,3.782,0,0,0,0,0,23,ELLIS D
COSC-253-501,47,90,44,8,2,191,2.900,0,0,0,7,0,198,SIMMS L
COSC-253-700,59,44,10,3,1,117,3.341,0,0,0,0,0,117,CARLSON K
COSC-275-501,11,26,21,1,0,59,2.796,0,0,0,2,0,61,PALMER R
COSC-275-502,11,36,9,1,1,58,2.948,0,0,0,2,0,60,PALMER R
COSC-275-503,13,27,16,2,1,59,2.830,0,0,0,1,0,60,PALMER R
COSC-275-504,3,3,7,2,0,15,2.466,0,0,0,0,0,15,PALMER R
COSC-284-500,208,16,2,0,0,226,3.911,0,0,0,0,0,226,ELLIS A
COSC-284-M01,4,1,1,0,0,6,3.500,0,0,0,0,0,6,ESCAMILLA E
COSC-301-501,7,16,5,0,1,29,2.965,0,0,0,1,0,30,GURGANUS C
COSC-301-502,6,17,7,0,0,30,2.966,0,0,0,0,0,30,GURGANUS C
COSC-301-503,3,16,11,0,0,30,2.733,0,0,0,0,0,30,GURGANUS C
COSC-301-504,4,17,9,0,0,30,2.833,0,0,0,0,0,30,GURGANUS C
COSC-301-505,11,18,1,0,0,30,3.333,0,0,0,0,0,30,GURGANUS C
COSC-301-506,11,13,5,0,0,29,3.206,0,0,0,0,0,29,GURGANUS C
COSC-303-501,11,22,6,0,0,39,3.128,0,0,0,1,0,40,BIRDWELL R
COSC-310-500,51,10,2,0,1,64,3.718,0,0,0,2,0,66,MORGAN T
COSC-321-501,144,66,12,1,1,224,3.566,0,0,0,0,0,224,ORIEKA O
COSC-325-500,20,67,92,20,6,205,2.365,0,0,0,14,0,219,HOUSTON J
COSC-333-500,17,29,7,0,0,53,3.188,0,0,0,0,0,53,SIMMS L
COSC-353-501,17,18,5,0,1,41,3.219,0,0,0,2,0,43,HANKS M
COSC-353-502,30,35,4,0,0,69,3.376,0,0,0,0,0,69,HANKS M
COSC-375-501,5,26,7,3,2,43,2.674,0,0,0,1,0,44,BOLDT G
COSC-375-502,3,19,9,1,0,32,2.750,0,0,0,1,0,33,BOLDT G
COSC-375-503,7,19,14,2,0,42,2.738,0,0,0,0,0,42,BOLDT G
COSC-375-504,4,25,11,2,1,43,2.674,0,0,0,1,0,44,BOLDT G
COSC-375-505,7,16,8,0,0,31,2.967,0,0,0,0,0,31,BOLDT G
COSC-410-500,46,4,0,0,0,50,3.920,0,0,0,0,0,50,FICKEL L
COSC-411-500,49,3,0,0,1,53,3.867,0,0,0,0,0,53,FICKEL L
COSC-421-500,60,24,6,1,1,92,3.532,0,0,0,1,0,93,DUDLEY D
COSC-440-930,3,11,9,0,0,23,2.739,0,0,0,0,0,23,HOUSTON J
COSC-441-901,6,16,0,0,0,22,3.272,0,0,0,0,0,22,BIRDWELL R
COSC-441-930,3,19,3,0,0,25,3.000,0,0,0,0,0,25,BIRDWELL R
