Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
------------ ----- ----- ----- -----,-----,-----,,----- -----,,-----,-----,-----,-----,----- ------,-----,---,---,---,------
9.59%,2.74% 13.70% 17.81% 30.14% 12.33% 10.96%,,,,,,2.74%,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7080-601   3,16   7,9,20,6,,7,4,,1,0,0,0,0,73,3.201,0,0,0,73
SEYMORE M 4.11% 21.92%,9.59% 12.33% 27.40%,,,8.22%,,9.59%,5.48%,,1.37%,0.00%,0.00%,0.00%,0.00%,,,,,,
4.11% 21.92%,9.59% 12.33% 27.40%,,,8.22%,,9.59%,5.48%,,1.37%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7091-601   3,8   4,7,7,7,,1,4,,0,0,0,0,0,41,3.220,0,0,0,41
FORTNEY S 7.32% 19.51%,9.76% 17.07% 17.07% 17.07%,,,,,2.44%,9.76%,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7091-602   4,0  11,5,34,2,,0,0,,0,0,0,0,0,56,3.221,0,0,0,56
REILLY P 7.14%,0.00% 19.64%,8.93% 60.71%,,3.57%,,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
7.22%,8.25% 15.46% 12.37% 42.27%,,,9.28%,,1.03%,4.12%,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7108-601   1,1   8,7,5,2,,3,0,,1,0,0,0,0,28,3.202,0,0,0,28
MANIGRASSO P3.57%,3.57% 28.57% 25.00% 17.86%,,,7.14% 10.71%,,,0.00%,,3.57%,0.00%,0.00%,0.00%,0.00%,,,,,,
COURSE TOTAL :1,1 8,7,5,2,,3,0,,1,0,0,0,0,28,3.202,0,0,0,28
3.57%,3.57% 28.57% 25.00% 17.86%,,,7.14% 10.71%,,,0.00%,,3.57%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7113-601   8,5   7,3,4,8,,2,6,,0,0,0,0,0,43,3.204,0,4,0,43
CASADO-PERE1Z8 .V60% 11.63% 16.28%,,6.98%,9.30% 18.60%,,,4.65% 13.95%,,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
COURSE TOTAL :8,5 7,3,4,8,,2,6,,0,0,0,0,0,43,3.204,0,4,0,43
18.60% 11.63% 16.28%,,6.98%,9.30% 18.60%,,,4.65% 13.95%,,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7123-601   0,1   7,4,2,2,,0,0,,0,0,0,0,0,16,3.396,0,0,0,16
GOODMAN L 0.00%,6.25% 43.75% 25.00% 12.50% 12.50%,,,,,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
COURSE TOTAL :0,1 7,4,2,2,,0,0,,0,0,0,0,0,16,3.396,0,0,0,16
0.00%,6.25% 43.75% 25.00% 12.50% 12.50%,,,,,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7124-601   2,5   9,10,12,8,7,,,5,1,0,0,0,0,59,3.045,0,1,0,59
BARNES W 3.39%,8.47% 15.25% 16.95% 20.34% 13.56% 11.86%,,,,,,,8.47%,1.69%,0.00%,0.00%,0.00%,0.00%,,,,,,
3.39%,8.47% 15.25% 16.95% 20.34% 13.56% 11.86%,,,,,,,8.47%,1.69%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7188-601   1,3   8,6,2,3,0,,,1,0,0,0,0,0,24,3.390,0,0,0,24
HARRISON S 4.17% 12.50% 33.33% 25.00%,,,8.33% 12.50%,,0.00%,,,4.17%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
4.17% 12.50% 33.33% 25.00%,,,8.33% 12.50%,,0.00%,,,4.17%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7199-601   0,2   3,4,6,0,0,,,0,0,0,0,0,0,15,3.355,0,0,0,15
WYNN S 0.00% 13.33% 20.00% 26.67% 40.00%,,,,0.00%,0.00%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
0.00% 13.33% 20.00% 26.67% 40.00%,,,,0.00%,0.00%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7203-601   1,3   5,7,4,6,3,,,0,0,0,0,0,0,29,3.195,0,0,0,29
YU P 3.45% 10.34% 17.24% 24.14% 13.79% 20.69% 10.34%,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
COURSE TOTAL :1,3 5,7,4,6,3,,,0,0,0,0,0,0,29,3.195,0,0,0,29
3.45% 10.34% 17.24% 24.14% 13.79% 20.69% 10.34%,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7217-601   1,2   2,0,0,2,0,,,0,0,0,0,0,0,7,3.527,0,0,0,7
WARE M 14.29% 28.57% 28.57%,,0.00%,0.00% 28.57%,,0.00%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
COURSE TOTAL :1,2 2,0,0,2,0,,,0,0,0,0,0,0,7,3.527,0,0,0,7
14.29% 28.57% 28.57%,,0.00%,0.00% 28.57%,,0.00%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7248-601   4,3   3,0,0,2,0,,,0,0,0,0,0,0,12,3.699,0,0,0,12
GREEN M 33.33% 25.00% 25.00%,,0.00%,0.00% 16.67%,,0.00%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
33.33% 25.00% 25.00%,,0.00%,0.00% 16.67%,,0.00%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7290-601   0,5,1   3,,0,1,1,,0,0,0,0,0,0,11,3.514,0,1,0,11
GUTHERIE S 0.00% 45.45%,,9.09% 27.27%,,0.00%,9.09%,9.09%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
COURSE TOTAL :0,5,1 3,,0,1,1,,0,0,0,0,0,0,11,3.514,0,1,0,11
0.00% 45.45%,,9.09% 27.27%,,0.00%,9.09%,9.09%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7301-601   1,3,5   6,,5,2,0,,0,1,0,0,0,0,23,3.319,0,0,0,23
AYRES P 4.35% 13.04% 21.74% 26.09% 21.74%,,,,,8.70%,0.00%,,0.00%,4.35%,0.00%,0.00%,0.00%,0.00%,,,,,,
COURSE TOTAL :1,3,5 6,,5,2,0,,0,1,0,0,0,0,23,3.319,0,0,0,23
4.35% 13.04% 21.74% 26.09% 21.74%,,,,,8.70%,0.00%,,0.00%,4.35%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7317-601   0,1,5   2,,5,0,0,,0,0,0,0,0,0,13,3.385,0,4,0,13
DUFFY T 0.00%,7.69% 38.46% 15.38% 38.46%,,,,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
COURSE TOTAL :0,1,5 2,,5,0,0,,0,0,0,0,0,0,13,3.385,0,4,0,13
0.00%,7.69% 38.46% 15.38% 38.46%,,,,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7319-601   0,3,7   7,,7,4,4,,0,0,0,0,0,0,32,3.187,0,0,0,32
LUCAS G 0.00%,9.38% 21.88% 21.88% 21.88% 12.50% 12.50%,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
COURSE TOTAL :0,3,7 7,,7,4,4,,0,0,0,0,0,0,32,3.187,0,0,0,32
0.00%,9.38% 21.88% 21.88% 21.88% 12.50% 12.50%,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7332-601   2,2,8   5,,3,4,0,,0,0,0,0,0,0,24,3.404,0,0,0,24
