Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
CHEN-324-300,0,2,3,0,0,5,2.400,0,0,0,0,0,5,ABDALLA A
CHEN-410-300,8,2,0,0,0,10,3.800,0,0,0,0,0,10,LINKE P
CHEN-432-900,1,3,4,0,0,8,2.625,0,0,0,0,0,8,SALAMA G
DEPARTMENT TOTAL:,9,7,7,0,0,23,3.147,0,0,0,0,0,23,
ASCC-289-300,3,3,1,0,0,7,3.285,0,0,0,0,0,7,ABBAS N
COMM-335-300,29,1,0,0,0,30,3.966,0,0,0,0,0,30,HILLMAN S
ENGL-104-301,6,2,0,0,3,11,2.727,0,0,0,0,0,11,SCHMALSTIG A
ENGL-104-302,8,0,0,0,1,9,3.555,0,0,0,0,0,9,SCOTT B
ENGL-210-301,9,2,0,0,0,11,3.818,1,0,0,0,0,12,QUEEN M
ENGL-219-302,6,0,0,0,0,6,4.000,0,0,0,0,0,6,RUDD L
HIST-230-301,10,3,0,0,0,13,3.769,0,0,0,0,0,13,BOUNDS B
HIST-258-300,10,1,0,0,0,11,3.909,0,0,0,0,0,11,VAN DE LOGT M
DEPARTMENT TOTAL:,81,12,1,0,4,98,3.693,1,0,0,0,0,99,
CHEM-107-300,2,2,1,0,0,5,3.200,0,0,0,0,0,5,BENGALI A
MATH-150-300,3,1,7,0,0,11,2.636,0,0,0,0,0,11,LAMEL B
MATH-151-300,2,3,8,0,4,17,1.941,0,0,0,0,0,17,DA SILVA JUNIOR A
MATH-152-301,5,9,8,2,2,26,2.500,0,0,0,3,0,29,SOUKIASSIAN Y
MATH-152-302,6,7,9,3,0,25,2.640,0,0,0,2,0,27,SOUKIASSIAN Y
MATH-251-300,8,5,3,0,0,16,3.312,0,0,0,0,0,16,TRABELSI S
MATH-308-300,16,27,5,0,0,48,3.229,0,0,0,0,0,48,ALONSO R
MATH-311-300,2,4,2,2,2,12,2.166,0,0,0,3,0,15,MIR N
PHYS-206-300,14,11,24,1,5,55,2.509,0,0,0,0,0,55,BELIC M
PHYS-207-300,5,5,10,1,0,21,2.666,1,0,0,2,0,24,DUTTA A
ECEN-214-301,1,2,8,4,1,16,1.875,0,0,0,0,0,16,JI J
ECEN-214-302,2,3,7,1,0,13,2.461,0,0,0,0,0,13,JI J
ECEN-403-900,7,0,0,0,0,7,4.000,0,0,0,0,0,7,QARAQE K
ECEN-446-300,8,13,0,0,0,21,3.380,0,0,0,0,0,21,BOUTROS J
ENGR-217-302,6,3,2,0,0,11,3.363,0,0,0,0,0,11,ZILANY M
ENGR-216-301,1,5,2,1,0,9,2.666,0,0,0,0,0,9,SCHULLER M
ENGR-216-302,0,4,7,1,0,12,2.250,0,0,0,0,0,12,SCHULLER M
ENGR-216-303,1,5,0,0,0,6,3.166,0,0,0,0,0,6,SCHULLER M
MEEN-315-300,3,3,3,1,1,11,2.545,0,0,0,0,0,11,SCHULLER M
MEEN-357-300,3,1,3,0,0,7,3.000,0,0,0,0,0,7,EL BORGI S
MEEN-364-300,0,1,6,0,0,7,2.142,0,0,0,0,0,7,KARKOUB M
MEEN-461-300,0,1,6,3,6,16,1.125,0,0,0,0,0,16,SADR R
PETE-311-300,5,3,4,0,0,12,3.083,0,0,0,0,0,12,FADLELMULA M
DEPARTMENT TOTAL:,5,3,4,0,0,12,3.083,0,0,0,0,0,12,
COLLEGE TOTAL:,190,137,133,20,25,505,2.852,2,0,0,10,0,517,
