Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
MPHY-635-301,9,0,0,0,0,9,4.000,0,0,0,0,0,9,RUTKOWSKI J
MSCI-650-100,5,0,0,0,0,5,4.000,0,0,0,0,0,5,HUSTON D
MSCI-650-200,9,0,0,0,0,9,4.000,0,0,0,0,0,9,HUSTON D
MSCI-689-101,4,1,0,0,0,5,3.800,0,0,0,0,0,5,KRAFT D
MSCI-689-300,11,0,0,0,0,11,4.000,0,0,0,0,0,11,KARPAC J
MSCI-689-301,5,0,0,0,0,5,4.000,0,0,0,0,0,5,SILVA P
DEPARTMENT TOTAL:,43,1,0,0,0,44,3.981,0,0,0,0,0,44
COLLEGE TOTAL:,43,1,0,0,0,44,3.981,0,0,0,0,0,44
