Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
UGST-484-502,8,0,0,0,0,8,0.000,0,0,0,0,1,9,BALESTER V
UGST-492-550,19,4,1,1,1,26,4.000,0,0,0,0,0,26,WEBB S
DEPARTMENT TOTAL:,27,4,1,1,1,34,4.000,0,0,0,0,1,35,
COLLEGE TOTAL:,27,4,1,1,1,34,4.000,0,0,0,0,1,35,
