SECTION,b,A,d,e,B,g,C,i,D,k,F,m,A_2,- F,p,GPA,r,I,t,S,v,U,x,Q,z,aa,bb,X,dd,TOTAL   INSTRUCTOR,ff,gg,hh,ii,jj
COURSE TOTAL:,17,,,0,,,0,,0,,0,,,17,4.0,,,False,,,False,False,,,False,,,False,,,17,,,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-618-600,15,,,0,,,0,,0,,0,,,15,4.0,,,False,,,False,False,,,False,,,False,,,15,LECHUGA V,,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,15,,,0,,,0,,0,,0,,,15,4.0,,,False,,,False,False,,,False,,,False,,,15,,,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-631-600,11,,,0,,,0,,0,,0,,,11,4.0,,,False,,,False,False,,,False,,,False,,,11,BAILEY K,,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,11,,,0,,,0,,0,,0,,,11,4.0,,,False,,,False,False,,,False,,,False,,,11,,,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-638-701,38,,,5,,,0,,0,,0,,,43,3.883,,,True,,,False,False,,,False,,,False,,,44,,,,
,0.8837,,,0.1163,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,38,,,5,,,0,,0,,0,,,43,3.883,,,True,,,False,False,,,False,,,False,,,44,,,,
,0.8837,,,0.1163,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-639-601,19,,,1,,,0,,0,,0,,,20,3.95,,,False,,,False,False,,,False,,,False,,,20,,,,
,0.95,,,0.05,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-639-700,9,,,0,,,0,,0,,0,,,9,4.0,,,False,,,False,False,,,False,,,False,,,9,,,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-639-701,10,,,0,,,0,,0,,0,,,10,4.0,,,False,,,False,False,,,False,,,False,,,10,,,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,38,,,1,,,0,,0,,0,,,39,3.974,,,False,,,False,False,,,False,,,False,,,39,,,,
,0.9744,,,0.0256,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-650-600,12,,,0,,,0,,0,,0,,,12,4.0,,,True,,,False,False,,,False,,,False,,,13,,,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,12,,,0,,,0,,0,,0,,,12,4.0,,,True,,,False,False,,,False,,,False,,,13,,,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-651-600,17,,,1,,,0,,0,,0,,,18,3.944,,,False,,,False,False,,,False,,,False,,,18,,,,
,0.9444,,,0.0556,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,17,,,1,,,0,,0,,0,,,18,3.944,,,False,,,False,False,,,False,,,False,,,18,,,,
,0.9444,,,0.0556,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-653-601,16,,,0,,,0,,0,,0,,,16,4.0,,,False,,,False,False,,,False,,,False,,,16,,,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
WEBB-JOHNSON G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LECHUGA V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAHRENWALD C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAHRENWALD C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STANLEY C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAAVEDRA A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUSOBA G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
