Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
COSC-463-902,12,10,3,0,1,26,3.230,0,0,0,0,0,26,MCCLOSKEY A
COSC-463-903,3,12,7,3,0,25,2.600,0,0,0,1,0,26,DAIGNEAULT M
COSC-463-904,3,13,7,0,0,23,2.826,0,0,0,1,0,24,DAIGNEAULT M
COSC-463-905,2,9,7,0,1,19,2.578,0,0,0,0,0,19,DAIGNEAULT M
COSC-463-906,11,10,2,1,0,24,3.291,0,0,0,1,0,25,MCCLOSKEY A
COSC-463-907,13,8,5,0,0,26,3.307,0,0,0,0,0,26,ELLIS D
COSC-464-500,27,9,0,0,0,36,3.750,0,0,0,0,0,36,MCGOWAN A
COSC-465-501,50,74,10,0,0,134,3.298,0,0,0,0,0,134,COKINOS G
COSC-475-501,2,14,28,2,0,46,2.347,0,0,0,1,0,47,MCGINN L
COSC-475-502,1,13,26,0,0,40,2.375,0,0,0,3,0,43,MCGINN L
COSC-475-503,3,16,22,0,0,41,2.536,0,0,0,1,0,42,MCGINN L
COSC-475-504,2,12,29,0,0,43,2.372,0,0,0,0,0,43,MCGINN L
COSC-477-501,7,16,14,1,0,38,2.763,0,0,0,0,0,38,FICKEL L
COSC-477-502,7,21,25,0,0,53,2.660,0,0,0,1,0,54,FICKEL L
COSC-489-901,16,1,2,0,0,19,3.736,0,0,0,0,0,19,ELLIS D
COSC-489-902,16,4,0,0,0,20,3.800,0,0,0,0,0,20,ELLIS D
COSC-489-903,16,4,0,0,0,20,3.800,0,0,0,0,0,20,ELLIS D
COSC-489-904,13,2,5,0,0,20,3.400,0,0,0,0,0,20,ELLIS D
COSC-489-905,15,0,1,0,1,17,3.647,0,1,0,0,0,18,ELLIS D
COSC-489-906,18,1,1,0,0,20,3.850,0,0,0,0,0,20,ELLIS D
COSC-489-907,15,3,2,0,0,20,3.650,0,0,0,0,0,20,ELLIS D
COSC-489-908,15,4,0,0,0,19,3.789,0,0,0,0,0,19,ELLIS D
COSC-489-909,16,2,0,0,0,18,3.888,0,0,0,1,0,19,ELLIS D
COSC-489-910,9,5,3,1,2,20,2.900,0,0,0,0,0,20,ELLIS D
COSC-494-950,51,12,5,0,0,68,3.676,0,0,0,0,0,68,GUERRA SANTOS H
COSC-601-600,32,8,1,0,0,41,3.756,0,0,0,0,0,41,BEHZADAN A
COSC-602-600,26,11,0,0,0,37,3.702,0,0,0,0,0,37,RYOO B
COSC-608-600,14,2,0,0,0,16,3.875,0,0,0,0,0,16,NICHOLS J
COSC-622-600,2,3,4,0,0,9,2.777,0,0,0,1,0,10,LAVY S
COSC-624-600,9,8,1,0,0,18,3.444,0,0,0,0,0,18,JEONG H
COSC-628-600,3,10,4,0,0,17,2.941,0,0,0,0,0,17,RODGERS W
COSC-628-601,9,0,0,0,0,9,4.000,0,0,0,0,0,9,GRISHAM R
COSC-642-600,4,6,0,0,0,10,3.400,0,0,0,0,0,10,KANG H
COSC-663-600,11,0,0,0,0,11,4.000,0,0,0,0,0,11,FERNANDEZ-SOLIS J
COSC-689-601,14,2,0,0,0,16,3.875,0,0,0,0,0,16,LEWIS P
DEPARTMENT TOTAL:,2101,1353,702,57,29,4242,3.231,1,1,0,65,0,4309,
