Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
GEOG-203-501,304,20,3,0,1,328,3.908,0,0,0,2,0,330,LOISEL J
GEOG-203-503,31,70,30,6,0,137,2.919,0,0,0,4,0,141,GUNERALP I
GEOG-203-504,24,23,11,1,0,59,3.186,0,0,0,1,0,60,BOMBARDI R
GEOG-203-505,25,39,22,4,1,91,2.912,0,0,0,7,0,98,FRAUENFELD O
GEOG-203-506,5,16,4,2,0,27,2.888,0,0,0,3,0,30,LAFON C
GEOG-203-507,9,7,1,2,0,19,3.210,0,0,0,1,0,20,LAFON C
GEOG-205-599,213,41,17,6,4,281,3.612,0,0,0,7,0,288,PATZEWITSCH W
GEOG-213-501,10,7,6,0,1,24,3.041,0,0,0,0,0,24,GUNERALP I
GEOG-213-502,12,4,5,1,2,24,2.958,0,0,0,1,0,25,GUNERALP I
GEOG-213-503,16,4,0,1,1,22,3.500,0,0,0,0,0,22,GUNERALP I
GEOG-213-505,12,6,5,0,1,24,3.166,0,0,0,0,0,24,GUNERALP I
GEOG-213-506,15,6,3,0,0,24,3.500,0,0,0,1,0,25,GUNERALP I
GEOG-213-507,16,5,2,0,1,24,3.458,0,0,0,0,0,24,GUNERALP I
GEOG-213-508,13,5,3,1,0,22,3.363,0,0,0,2,1,25,GUNERALP I
GEOG-213-509,16,4,3,0,1,24,3.416,0,0,0,0,0,24,GUNERALP I
GEOG-213-510,16,5,1,0,1,23,3.375,0,0,0,0,0,23,GUNERALP I
GEOG-213-512,7,10,1,1,1,20,3.050,0,0,0,1,0,21,GUNERALP I
GEOG-213-513,16,5,1,0,1,23,3.521,0,0,0,0,2,25,GUNERALP I
GEOG-213-514,7,6,1,3,0,17,3.000,0,0,0,1,0,18,GUNERALP I
GEOG-232-501,3,7,6,1,2,19,2.421,0,0,0,0,0,19,PATZEWITSCH W
GEOG-232-502,3,11,5,0,0,19,2.894,0,0,0,0,0,19,PATZEWITSCH W
GEOG-232-503,1,8,6,0,0,15,2.666,0,0,0,0,0,15,PATZEWITSCH W
GEOG-232-504,5,5,1,4,0,15,2.733,0,0,0,1,0,16,PATZEWITSCH W
GEOG-289-931,9,0,0,0,0,9,4.000,4,0,0,2,0,15,GOLDBERG D
GEOG-289-932,9,0,0,0,1,10,3.600,5,0,0,0,0,15,GOLDBERG D
GEOG-289-933,10,0,0,0,1,11,3.636,4,0,0,0,0,15,GOLDBERG D
GEOG-301-500,57,78,73,6,5,219,2.803,0,0,0,31,0,250,PATZEWITSCH W
GEOG-304-500,22,32,28,8,3,93,2.666,0,0,0,5,0,98,LODER T
GEOG-305-500,29,15,9,5,4,62,2.967,0,0,0,1,0,63,PROUT E
GEOG-306-500,20,28,12,3,3,66,2.893,0,0,0,0,0,66,GUNERALP B
GEOG-311-500,14,12,11,5,0,42,2.833,0,0,0,2,0,44,SMITH J
GEOG-320-500,5,7,16,5,2,35,2.228,0,0,0,4,0,39,TCHAKERIAN V
GEOG-324-900,8,8,7,0,0,23,3.043,0,0,0,1,0,24,FRAUENFELD O
