Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
BMEN-101-200,17,0,1,0,0,18,3.888,0,0,0,0,0,18,PEAK C
BMEN-101-201,18,1,0,0,0,19,3.947,0,0,0,0,0,19,PEAK C
BMEN-101-500,54,7,2,0,1,64,3.765,0,0,0,0,0,64,PEAK C
BMEN-101-501,56,8,0,0,0,64,3.875,0,0,0,0,0,64,PEAK C
BMEN-207-200,13,2,0,0,0,15,3.866,0,0,0,0,0,15,KELLER B
BMEN-207-201,12,0,0,0,0,12,4.000,0,0,0,0,0,12,KELLER B
BMEN-207-500,42,13,1,0,0,56,3.732,0,0,0,3,0,59,KELLER B
BMEN-207-501,49,11,1,0,0,61,3.786,0,0,0,2,0,63,KELLER B
BMEN-305-501,21,2,0,0,0,23,3.913,0,0,0,0,0,23,MAITLAND K
BMEN-305-502,13,1,1,0,0,15,3.800,0,0,0,0,0,15,MAITLAND K
BMEN-305-503,22,0,0,0,0,22,4.000,0,0,0,0,0,22,MAITLAND K
BMEN-305-504,12,0,0,0,0,12,4.000,0,0,0,0,0,12,MAITLAND K
BMEN-305-505,20,1,1,0,0,22,3.863,0,0,0,0,0,22,MAITLAND K
BMEN-305-506,17,3,0,0,0,20,3.850,0,0,0,0,0,20,MAITLAND K
BMEN-305-509,22,1,0,0,0,23,3.956,0,0,0,0,0,23,MAITLAND K
BMEN-305-510,11,1,0,0,0,12,3.916,0,0,0,0,0,12,MAITLAND K
BMEN-321-200,3,4,0,0,0,7,3.428,0,0,0,0,0,7,PEAK C
BMEN-321-203,4,1,1,0,0,6,3.500,0,0,0,0,0,6,PEAK C
BMEN-321-500,13,21,5,0,0,39,3.205,1,0,0,1,0,41,PEAK C
BMEN-321-501,12,16,2,0,0,30,3.333,0,0,0,1,0,31,PEAK C
BMEN-321-502,2,10,6,2,0,20,2.600,0,0,0,0,0,20,PEAK C
BMEN-321-503,9,19,5,1,0,34,3.058,0,0,0,0,0,34,PEAK C
BMEN-341-500,12,46,8,4,0,70,2.942,0,0,0,2,0,72,JAIN A
BMEN-343-200,4,1,0,0,0,5,3.800,0,0,0,0,0,5,GRUNLAN M
BMEN-343-201,2,5,0,0,0,7,3.285,0,0,0,0,0,7,PFAU M
BMEN-343-500,29,25,11,2,2,69,3.115,0,0,0,0,0,69,GRUNLAN M
BMEN-343-501,37,19,6,2,2,66,3.318,0,0,0,0,0,66,PFAU M
BMEN-350-200,2,2,1,0,0,5,3.200,0,0,0,0,0,5,YEH A
BMEN-350-201,1,2,2,0,0,5,2.800,0,0,0,0,0,5,YEH A
BMEN-350-500,17,33,11,1,0,62,3.064,0,0,0,3,0,65,YEH A
BMEN-350-501,13,15,10,4,1,43,2.813,0,0,0,7,0,50,YEH A
BMEN-361-200,4,1,0,0,0,5,3.800,0,0,0,0,0,5,TIAN L
BMEN-361-500,20,44,8,0,0,72,3.166,0,0,0,1,0,73,TIAN L
BMEN-404-500,26,7,1,0,0,34,3.735,0,0,0,0,0,34,KELLER B
BMEN-428-502,9,5,1,0,0,15,3.533,0,0,0,0,0,15,JAFARI R
BMEN-432-500,4,4,3,0,0,11,3.090,0,0,0,2,0,13,HWANG W
BMEN-452-500,60,6,0,0,0,66,3.909,0,0,0,0,0,66,PATRICK C
BMEN-452-501,15,12,2,0,1,30,3.333,0,0,0,1,0,31,PATRICK C
BMEN-453-500,73,0,0,0,0,73,4.000,0,0,0,0,0,73,MACHEK J
BMEN-453-501,68,1,0,0,0,69,3.985,0,0,0,0,0,69,MACHEK J
BMEN-461-500,20,10,1,0,0,31,3.612,0,0,0,0,0,31,CRISCIONE J
BMEN-465-500,19,1,0,0,0,20,3.950,0,0,0,0,0,20,BISWAS S
BMEN-465-501,17,3,0,0,0,20,3.850,0,0,0,0,0,20,BISWAS S
BMEN-465-502,20,0,0,0,0,20,4.000,0,0,0,0,0,20,BISWAS S
BMEN-465-503,9,9,0,0,0,18,3.500,0,0,0,0,0,18,BISWAS S
BMEN-465-504,20,0,0,0,0,20,4.000,0,0,0,0,0,20,BISWAS S
BMEN-465-505,19,1,0,0,0,20,3.950,0,0,0,0,0,20,BISWAS S
BMEN-465-506,19,0,0,0,0,19,4.000,0,0,0,0,0,19,BISWAS S
BMEN-465-507,10,0,0,0,0,10,4.000,0,0,0,0,0,10,BISWAS S
BMEN-482-500,49,12,0,0,0,61,3.803,0,0,0,0,0,61,MABBOTT S
BMEN-485-501,10,0,0,0,0,10,4.000,0,0,0,0,0,10,BISWAS S
BMEN-487-500,16,7,1,0,0,24,3.625,0,0,0,1,0,25,GAHARWAR A
BMEN-487-501,13,13,5,0,0,31,3.258,0,0,0,0,0,31,ARUN KUMAR S
BMEN-491-548,3,2,0,0,0,5,3.642,0,0,0,0,0,5,MABBOTT S
BMEN-604-600,23,3,0,0,0,26,3.884,0,0,0,1,0,27,KELLER B
