Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
LBAR-181-503,20,0,0,0,0,20,4.000,0,0,0,0,0,20,OBERHELMAN S
LBAR-181-504,14,1,0,0,1,16,3.687,0,0,0,0,0,16,OBERHELMAN S
LBAR-181-506,19,4,0,1,0,24,3.708,0,0,0,0,0,24,BROOKINS B
LBAR-181-507,18,2,1,0,0,21,3.809,0,0,0,0,0,21,LAPORTE C
LBAR-181-508,17,4,2,0,0,23,3.652,0,0,0,0,0,23,DORSEY L
LMAS-201-500,20,0,0,0,0,20,4.000,0,0,0,1,0,21,HINOJOSA F
RELS-200-500,4,20,5,3,5,37,2.405,0,0,0,35,0,72,HAVENS J
RELS-202-500,11,13,6,2,2,34,2.852,0,0,0,2,0,36,BARE D
RELS-222-500,5,9,6,0,0,20,2.950,0,0,0,0,0,20,BARE D
RELS-251-500,12,12,3,0,0,27,3.333,0,0,0,0,0,27,MATHENY R
RELS-257-500,10,27,10,1,2,50,2.840,0,0,0,3,0,53,HAVENS J
RELS-257-501,1,4,3,0,1,9,2.444,0,0,0,1,0,10,HAVENS J
RELS-312-900,10,10,3,0,0,23,3.304,0,0,0,2,0,25,DOX D
RELS-326-501,5,0,0,0,0,5,4.000,0,0,0,0,0,5,MESTROVIC S
RELS-340-500,0,3,2,0,0,5,2.600,0,0,0,0,0,5,GREEN T
RELS-360-500,3,3,1,0,0,7,3.285,0,0,0,1,0,8,PERRY N
RELS-471-500,3,3,3,0,0,9,3.000,0,0,0,0,0,9,KALLENDORF H
WGST-200-501,8,23,46,5,3,85,2.329,0,0,0,17,0,102,WOLF J
WGST-207-501,9,5,2,2,0,18,3.166,0,0,0,1,0,19,OCHOA M
WGST-207-502,8,14,11,2,0,35,2.800,0,0,0,2,0,37,LAKKIMSETTI C
WGST-207-503,5,2,4,1,0,12,2.916,0,0,0,0,0,12,SUZUKI K
WGST-210-501,10,4,1,0,0,15,3.600,0,0,0,0,0,15,EDENS P
WGST-210-502,9,6,0,0,0,15,3.600,0,0,0,0,0,15,EDENS P
WGST-300-501,2,6,8,3,0,19,2.368,0,0,0,1,0,20,EDENS P
WGST-300-502,2,9,7,0,0,18,2.722,0,0,0,2,0,20,CARTER-SOWELL A
WGST-303-500,0,3,1,1,0,5,2.400,0,0,0,0,0,5,CARTER-SOWELL A
WGST-316-501,5,1,2,0,0,8,3.375,0,0,0,0,0,8,LAKKIMSETTI C
WGST-333-501,0,1,2,1,1,5,1.600,0,0,0,0,0,5,TUHKANEN M
WGST-334-501,2,4,0,0,0,6,3.333,0,0,0,0,0,6,FEHR S
WGST-374-500,5,0,0,0,0,5,4.000,0,0,0,0,0,5,AHN H
WGST-407-900,5,0,0,0,0,5,4.000,0,0,0,0,0,5,TARVIN D
WGST-407-901,1,2,1,0,1,5,2.400,0,0,0,0,0,5,HENSON B
WGST-430-501,0,5,0,0,0,5,3.000,0,0,0,0,0,5,SCHWARTZ M
WGST-481-902,3,6,5,0,0,14,2.857,0,0,0,1,0,15,WOLF J
COMM-101-200,10,2,0,1,0,13,3.615,0,0,0,0,0,13,STREET N
COMM-101-201,14,0,0,0,0,14,4.000,0,0,0,0,0,14,STREET N
COMM-101-202,7,6,0,0,0,13,3.538,0,0,0,0,0,13,STREET N
COMM-101-203,12,1,0,0,0,13,3.923,0,0,0,0,0,13,STREET N
COMM-101-502,7,3,3,0,0,13,3.307,0,0,0,0,0,13,STREET N
COMM-101-504,11,3,1,0,0,15,3.666,0,0,0,0,0,15,STREET N
COMM-101-505,13,2,0,0,0,15,3.866,0,0,0,0,0,15,STREET N
COMM-101-507,9,2,1,1,0,13,3.461,0,0,0,0,0,13,STREET N
COMM-101-508,5,6,3,0,0,14,3.142,0,0,0,0,0,14,STREET N
COMM-101-509,8,4,1,0,0,13,3.538,0,0,0,0,0,13,STREET N
COMM-203-200,18,1,0,0,0,19,3.947,0,0,0,1,0,20,TARVIN D
COMM-203-501,10,11,2,1,0,24,3.250,0,0,0,1,0,25,ROWE S
COMM-203-502,14,6,3,0,1,24,3.333,0,0,0,0,0,24,ROWE S
COMM-203-503,5,15,5,0,0,25,3.000,0,0,0,0,0,25,ROWE S
COMM-203-504,7,12,4,0,0,23,3.130,0,0,0,2,0,25,ROWE S
COMM-203-505,7,10,5,0,0,22,3.090,0,0,0,3,0,25,ROWE S
COMM-203-506,6,15,2,0,0,23,3.173,0,0,0,2,0,25,ROWE S
COMM-203-507,7,13,3,0,0,23,3.173,0,0,0,1,0,24,ROWE S
COMM-203-508,6,8,6,0,0,20,3.000,0,0,0,5,0,25,ROWE S
COMM-203-509,11,13,1,0,0,25,3.400,0,0,0,0,0,25,ROWE S
